Layer,NodesPerLayer,BatchSize,Epoch,Optimizer,Accuracy
1,30,16,50,Adam,0.7670300006866455
1,30,32,50,Adam,0.7915531396865845
1,30,64,50,Adam,0.6839237213134766
1,30,128,50,Adam,0.6689373254776001
1,30,256,50,Adam,0.5395095348358154
1,30,512,50,Adam,0.6798365116119385
1,40,16,50,Adam,0.7697547674179077
1,40,32,50,Adam,0.7983651161193848
1,40,64,50,Adam,0.7452316284179688
1,40,128,50,Adam,0.7193460464477539
1,40,256,50,Adam,0.7711171507835388
1,40,512,50,Adam,0.5735694766044617
1,50,16,50,Adam,0.8256130814552307
1,50,32,50,Adam,0.7411444187164307
1,50,64,50,Adam,0.7275204062461853
1,50,128,50,Adam,0.6989100575447083
1,50,256,50,Adam,0.6825612783432007
1,50,512,50,Adam,0.7356948256492615
1,60,16,50,Adam,0.7656675577163696
1,60,32,50,Adam,0.7670300006866455
1,60,64,50,Adam,0.720708429813385
1,60,128,50,Adam,0.7370572090148926
1,60,256,50,Adam,0.7043596506118774
1,60,512,50,Adam,0.7111716866493225
1,70,16,50,Adam,0.779291570186615
1,70,32,50,Adam,0.7547683715820312
1,70,64,50,Adam,0.7738419771194458
1,70,128,50,Adam,0.723433256149292
1,70,256,50,Adam,0.7152588367462158
1,70,512,50,Adam,0.6485013365745544
1,80,16,50,Adam,0.803814709186554
1,80,32,50,Adam,0.8065395355224609
1,80,64,50,Adam,0.7833787202835083
1,80,128,50,Adam,0.7152588367462158
1,80,256,50,Adam,0.7929155230522156
1,80,512,50,Adam,0.7861035466194153
1,90,16,50,Adam,0.8215258717536926
1,90,32,50,Adam,0.803814709186554
1,90,64,50,Adam,0.7397820353507996
1,90,128,50,Adam,0.7888283133506775
1,90,256,50,Adam,0.7683923840522766
1,90,512,50,Adam,0.7370572090148926
1,100,16,50,Adam,0.832425057888031
1,100,32,50,Adam,0.7820163369178772
1,100,64,50,Adam,0.7779291272163391
1,100,128,50,Adam,0.7711171507835388
1,100,256,50,Adam,0.7574931979179382
1,100,512,50,Adam,0.6525885462760925
2,30,16,50,Adam,0.7438691854476929
2,30,32,50,Adam,0.7901907563209534
2,30,64,50,Adam,0.7670300006866455
2,30,128,50,Adam,0.6989100575447083
2,30,256,50,Adam,0.7138964533805847
2,30,512,50,Adam,0.6839237213134766
2,40,16,50,Adam,0.7738419771194458
2,40,32,50,Adam,0.7547683715820312
2,40,64,50,Adam,0.747956395149231
2,40,128,50,Adam,0.7397820353507996
2,40,256,50,Adam,0.7670300006866455
2,40,512,50,Adam,0.7574931979179382
2,50,16,50,Adam,0.7016348838806152
2,50,32,50,Adam,0.7683923840522766
2,50,64,50,Adam,0.7602179646492004
2,50,128,50,Adam,0.7820163369178772
2,50,256,50,Adam,0.6771117448806763
2,50,512,50,Adam,0.7465940117835999
2,60,16,50,Adam,0.7970027327537537
2,60,32,50,Adam,0.8147138953208923
2,60,64,50,Adam,0.8065395355224609
2,60,128,50,Adam,0.7752043604850769
2,60,256,50,Adam,0.7534059882164001
2,60,512,50,Adam,0.7602179646492004
2,70,16,50,Adam,0.6975476741790771
2,70,32,50,Adam,0.7247956395149231
2,70,64,50,Adam,0.7997274994850159
2,70,128,50,Adam,0.7629427909851074
2,70,256,50,Adam,0.6852861046791077
2,70,512,50,Adam,0.7602179646492004
2,80,16,50,Adam,0.807901918888092
2,80,32,50,Adam,0.7901907563209534
2,80,64,50,Adam,0.7915531396865845
2,80,128,50,Adam,0.6989100575447083
2,80,256,50,Adam,0.7493187785148621
2,80,512,50,Adam,0.7438691854476929
2,90,16,50,Adam,0.6893733143806458
2,90,32,50,Adam,0.7547683715820312
2,90,64,50,Adam,0.7629427909851074
2,90,128,50,Adam,0.7643051743507385
2,90,256,50,Adam,0.7752043604850769
2,90,512,50,Adam,0.7275204062461853
2,100,16,50,Adam,0.8133515119552612
2,100,32,50,Adam,0.7915531396865845
2,100,64,50,Adam,0.8010899424552917
2,100,128,50,Adam,0.7452316284179688
2,100,256,50,Adam,0.747956395149231
2,100,512,50,Adam,0.7098092436790466
3,30,16,50,Adam,0.779291570186615
3,30,32,50,Adam,0.7275204062461853
3,30,64,50,Adam,0.7683923840522766
3,30,128,50,Adam,0.7125340700149536
3,30,256,50,Adam,0.7043596506118774
3,30,512,50,Adam,0.7329699993133545
3,40,16,50,Adam,0.7970027327537537
3,40,32,50,Adam,0.7465940117835999
3,40,64,50,Adam,0.7343324422836304
3,40,128,50,Adam,0.7724795937538147
3,40,256,50,Adam,0.7397820353507996
3,40,512,50,Adam,0.7493187785148621
3,50,16,50,Adam,0.7261580228805542
3,50,32,50,Adam,0.7779291272163391
3,50,64,50,Adam,0.7656675577163696
3,50,128,50,Adam,0.7888283133506775
3,50,256,50,Adam,0.7302452325820923
3,50,512,50,Adam,0.7670300006866455
3,60,16,50,Adam,0.7820163369178772
3,60,32,50,Adam,0.7425068020820618
3,60,64,50,Adam,0.720708429813385
3,60,128,50,Adam,0.7329699993133545
3,60,256,50,Adam,0.7615804076194763
3,60,512,50,Adam,0.7193460464477539
3,70,16,50,Adam,0.7288828492164612
3,70,32,50,Adam,0.7901907563209534
3,70,64,50,Adam,0.7643051743507385
3,70,128,50,Adam,0.7656675577163696
3,70,256,50,Adam,0.7384195923805237
3,70,512,50,Adam,0.7465940117835999
3,80,16,50,Adam,0.779291570186615
3,80,32,50,Adam,0.7043596506118774
3,80,64,50,Adam,0.7329699993133545
3,80,128,50,Adam,0.7343324422836304
3,80,256,50,Adam,0.7683923840522766
3,80,512,50,Adam,0.779291570186615
3,90,16,50,Adam,0.7724795937538147
